City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,32.7,93,100,6.91,CA,1701299498
1,longyearbyen,78.2186,15.6401,26.44,86,75,14.97,SJ,1701299498
2,saint-louis,16.3333,-15.0,78.57,13,0,10.49,SN,1701299499
3,demba,-5.51,22.2667,67.55,98,100,2.39,CD,1701299499
4,waitangi,-43.9535,-176.5597,54.82,75,98,8.01,NZ,1701299329
5,yellowknife,62.456,-114.3525,6.42,98,100,3.0,CA,1701299383
6,albany,42.6001,-73.9662,29.62,67,61,4.36,US,1701299500
7,puerto ayora,-0.7393,-90.3518,78.55,86,60,5.99,EC,1701299500
8,dryden,49.7833,-92.7503,30.49,80,100,6.91,CA,1701299501
9,magdagachi,53.45,125.8,7.95,61,16,8.7,RU,1701299501
10,berezovyy,51.6667,135.7,-4.02,80,8,2.55,RU,1701299501
11,bulungu,-4.55,18.6,69.8,99,100,1.12,CD,1701299502
12,aasiaat,68.7098,-52.8699,31.8,71,100,6.82,GL,1701299502
13,grand falls-windsor,48.9332,-55.6649,29.5,92,100,13.56,CA,1701299503
14,ancud,-41.8697,-73.8203,52.74,93,100,13.62,CL,1701299503
15,margaret river,-33.95,115.0667,64.29,75,100,9.89,AU,1701299503
16,sinop,41.7711,34.8709,47.8,81,100,11.72,TR,1701299503
17,stanley,54.868,-1.6985,35.76,84,75,9.22,GB,1701299504
18,tazovsky,67.4667,78.7,2.5,93,98,6.76,RU,1701299504
19,utrik,11.2278,169.8474,81.57,73,100,19.51,MH,1701299504
20,adamstown,-25.066,-130.1015,71.22,77,100,8.05,PN,1701299504
21,grytviken,-54.2811,-36.5092,36.99,95,95,4.09,GS,1701299505
22,gornozavodsk,58.3758,58.3211,25.59,98,100,2.17,RU,1701299505
23,nova sintra,14.8667,-24.7167,71.11,72,4,12.95,CV,1701299505
24,xingcheng,40.6167,120.7167,19.22,41,0,5.95,CN,1701299505
25,qamdo,31.1667,97.2333,22.15,51,89,3.11,CN,1701299506
26,praia da vitoria,38.7333,-27.0667,59.76,92,100,35.01,PT,1701299506
27,petropavlovsk-kamchatsky,53.0452,158.6483,19.99,65,75,8.01,RU,1701299506
28,sulak,43.2734,47.5146,50.13,82,67,7.36,RU,1701299506
29,sitka,57.0531,-135.33,44.49,57,100,14.97,US,1701299507
30,natal,-5.795,-35.2094,77.65,88,20,5.75,BR,1701299507
31,prokop'yevsk,53.9059,86.719,16.84,89,94,4.81,RU,1701299507
32,codrington,-38.2667,141.9667,62.91,63,100,17.85,AU,1701299508
33,lusambo,-4.9667,23.45,69.1,98,98,1.7,CD,1701299508
